TIME,MEASURE
11:11:17,???
11:11:18,???
11:11:19,???
11:11:20,???
11:11:21,???
11:11:22,???
11:11:23,???
11:11:24,???
11:11:25,???
11:11:26,???
11:11:27,???
11:11:28,???
11:11:29,???
11:11:30,???
11:11:31,???
11:11:32,???
11:11:33,???
11:11:34,???
11:11:35,???
11:11:36,???
11:11:37,???
11:11:38,???
11:11:39,???
11:11:40,???
11:11:41,???
11:11:42,???
11:11:43,???
11:11:44,???
11:11:45,???
11:11:46,???
11:11:47,???
11:11:48,???
11:11:49,???
11:11:50,???
11:11:51,???
11:11:52,???
11:11:53,???
11:11:54,???
11:11:55,???
11:11:56,???
11:11:57,???
11:11:58,???
11:11:59,???
11:12:00,???
11:12:01,???
11:12:02,???
11:12:03,???
11:12:04,???
11:12:05,???
11:12:06,???
11:12:07,???
11:12:08,???
11:12:09,???
11:12:10,???
11:12:11,???
11:12:12,???
11:12:13,???
11:12:14,???
11:12:15,???
11:12:16,???
11:12:17,???
11:12:18,???
11:12:19,???
11:12:20,???
11:12:21,???
11:12:22,???
11:12:23,???
11:12:24,???
11:12:25,???
11:12:26,???
11:12:27,???
11:12:28,???
11:12:29,???
11:12:30,???
11:12:31,???
11:12:32,???
11:12:33,???
11:12:34,???
11:12:35,???
11:12:36,???
11:12:37,???
11:12:38,???
11:12:39,???
11:12:40,???
11:12:41,???
11:12:42,???
11:12:43,???
11:12:44,???
11:12:45,???
11:12:46,???
11:12:47,???
11:12:48,???
11:12:49,???
11:12:50,???
11:12:51,???
11:12:52,???
11:12:53,???
11:12:54,???
11:12:55,???
11:12:56,???
11:12:57,???
11:12:58,???
11:12:59,???
11:13:00,???
11:13:01,???
11:13:02,???
11:13:03,???
11:13:04,???
11:13:05,???
11:13:06,???
11:13:07,???
11:13:08,???
11:13:09,???
11:13:10,???
11:13:11,???
11:13:12,???
11:13:13,???
11:13:14,???
11:13:15,???
11:13:16,???
11:13:17,???
11:13:18,???
11:13:19,???
11:13:20,???
11:13:21,???
11:13:22,???
11:13:23,???
11:13:24,???
11:13:25,???
11:13:26,???
11:13:27,???
11:13:28,???
11:13:29,???
11:13:30,???
11:13:31,???
11:13:32,???
11:13:33,???
11:13:34,???
11:13:35,???
11:13:36,???
11:13:37,???
11:13:38,???
11:13:39,???
11:13:40,???
11:13:41,???
11:13:42,???
11:13:43,???
11:13:44,???
11:13:45,???
11:13:46,???
11:13:47,???
11:13:48,???
11:13:49,???
11:13:50,???
11:13:51,???
11:13:52,???
11:13:53,???
11:13:54,???
11:13:55,???
11:13:56,???
11:13:57,???
11:13:58,???
11:13:59,???
11:14:00,???
11:14:01,???
11:14:02,???
11:14:03,???
11:14:04,???
11:14:05,???
11:14:06,???
11:14:07,???
11:14:08,???
11:14:09,???
