TIME,MEASURE
10:50:00,???
10:50:01,???
10:50:02,???
10:50:03,???
10:50:04,???
10:50:05,???
10:50:06,???
10:50:07,???
10:50:08,???
10:50:09,???
10:50:10,???
10:50:11,???
10:50:12,???
10:50:13,???
10:50:14,???
10:50:15,???
10:50:16,???
10:50:17,???
10:50:18,???
10:50:19,???
10:50:20,???
10:50:21,???
10:50:22,???
10:50:23,???
10:50:24,???
10:50:25,???
10:50:26,???
10:50:27,???
10:50:28,???
10:50:29,???
10:50:30,???
10:50:31,???
10:50:32,???
10:50:33,???
10:50:34,???
10:50:35,???
10:50:36,???
10:50:37,???
10:50:38,???
10:50:39,???
10:50:40,???
10:50:41,???
10:50:42,???
10:50:43,???
10:50:44,???
10:50:45,???
10:50:46,???
10:50:47,???
10:50:48,???
10:50:49,???
10:50:50,???
10:50:51,???
10:50:52,???
10:50:53,???
10:50:54,???
10:50:55,???
10:50:56,???
10:50:57,???
10:50:58,???
10:50:59,???
10:51:00,???
10:51:01,???
10:51:02,???
