Date,A Volumetric flow rate [m³/h]
2/6/2026 3:53:19 PM,232.134729623795
2/6/2026 3:53:20 PM,232.134729623795
2/6/2026 3:53:21 PM,230.280411243439
2/6/2026 3:53:22 PM,170.67349255085
2/6/2026 3:53:23 PM,175.253257155418
2/6/2026 3:53:24 PM,
2/6/2026 3:53:25 PM,196.077780425549
2/6/2026 3:53:26 PM,218.822242319584
2/6/2026 3:53:27 PM,228.500550985336
2/6/2026 3:53:28 PM,228.249657154083
2/6/2026 3:53:29 PM,228.765177726746
2/6/2026 3:53:30 PM,230.209198594093
2/6/2026 3:53:31 PM,232.880571484566
2/6/2026 3:53:32 PM,231.293669342995
2/6/2026 3:53:33 PM,230.231085419655
2/6/2026 3:53:34 PM,227.118703722954
2/6/2026 3:53:35 PM,225.625142455101
2/6/2026 3:53:36 PM,226.402580738068
2/6/2026 3:53:37 PM,225.765717029572
2/6/2026 3:53:38 PM,228.596386313438
2/6/2026 3:53:39 PM,230.23736178875
2/6/2026 3:53:40 PM,230.094212293625
2/6/2026 3:53:41 PM,229.607954621315
2/6/2026 3:53:42 PM,229.84833419323
2/6/2026 3:53:43 PM,229.472959041595
2/6/2026 3:53:44 PM,229.234054684639
2/6/2026 3:53:45 PM,229.545593261719
2/6/2026 3:53:46 PM,230.148178339005
2/6/2026 3:53:47 PM,229.963883757591
2/6/2026 3:53:48 PM,229.804211854935
2/6/2026 3:53:49 PM,229.605969786644
2/6/2026 3:53:50 PM,229.882854223251
2/6/2026 3:53:51 PM,229.733991622925
2/6/2026 3:53:52 PM,229.739946126938
2/6/2026 3:53:53 PM,229.584887623787
2/6/2026 3:53:54 PM,229.362854361534
2/6/2026 3:53:55 PM,229.440799355507
2/6/2026 3:53:56 PM,229.218229651451
2/6/2026 3:53:57 PM,229.033854603767
2/6/2026 3:53:58 PM,228.91554236412
2/6/2026 3:53:59 PM,228.909105062485
2/6/2026 3:54:00 PM,228.529545664787
2/6/2026 3:54:01 PM,228.566721081734
2/6/2026 3:54:02 PM,228.711372613907
2/6/2026 3:54:03 PM,228.549045324326
2/6/2026 3:54:04 PM,229.001480340958
2/6/2026 3:54:05 PM,228.931125998497
2/6/2026 3:54:06 PM,229.440316557884
2/6/2026 3:54:07 PM,217.542922496796
