Date,A Volumetric flow rate [m³/h]
1/8/2026 11:19:42 AM,
1/8/2026 11:19:43 AM,
1/8/2026 11:19:44 AM,
1/8/2026 11:19:45 AM,
1/8/2026 11:19:46 AM,
1/8/2026 11:19:47 AM,
1/8/2026 11:19:48 AM,
1/8/2026 11:19:49 AM,
1/8/2026 11:19:50 AM,
1/8/2026 11:19:51 AM,
1/8/2026 11:19:52 AM,
1/8/2026 11:19:53 AM,32.7254075556993
1/8/2026 11:19:54 AM,32.7331557869911
1/8/2026 11:19:55 AM,32.6554488390684
1/8/2026 11:19:56 AM,32.5568877160549
1/8/2026 11:19:57 AM,32.6762761920691
1/8/2026 11:19:58 AM,32.458970323205
1/8/2026 11:19:59 AM,32.3368158191442
1/8/2026 11:20:00 AM,32.7142126858234
1/8/2026 11:20:01 AM,33.2629021257162
1/8/2026 11:20:02 AM,33.4432438015938
1/8/2026 11:20:03 AM,32.8171826899052
1/8/2026 11:20:04 AM,32.2123814374208
1/8/2026 11:20:05 AM,32.5576957315207
1/8/2026 11:20:06 AM,32.5746908783913
1/8/2026 11:20:07 AM,32.6639078557491
1/8/2026 11:20:08 AM,32.8703641891479
1/8/2026 11:20:09 AM,33.1389237195253
1/8/2026 11:20:10 AM,32.8978031873703
1/8/2026 11:20:11 AM,32.9534791409969
1/8/2026 11:20:12 AM,32.9731430858374
1/8/2026 11:20:13 AM,33.0187272280455
1/8/2026 11:20:14 AM,33.1148207187653
1/8/2026 11:20:15 AM,32.979328930378
1/8/2026 11:20:16 AM,33.0217245966196
1/8/2026 11:20:17 AM,33.0300830304623
1/8/2026 11:20:18 AM,33.0808505415916
1/8/2026 11:20:19 AM,33.1233602017164
1/8/2026 11:20:20 AM,33.1557780504227
1/8/2026 11:20:21 AM,33.1602036952972
1/8/2026 11:20:22 AM,33.0918945372105
1/8/2026 11:20:23 AM,33.1384040415287
1/8/2026 11:20:24 AM,33.2075949758291
1/8/2026 11:20:25 AM,33.2095999270678
1/8/2026 11:20:26 AM,33.1784226000309
1/8/2026 11:20:27 AM,33.1577159464359
1/8/2026 11:20:28 AM,33.0835863947868
1/8/2026 11:20:29 AM,33.1088460981846
1/8/2026 11:20:30 AM,33.1468295305967
1/8/2026 11:20:31 AM,33.163033425808
1/8/2026 11:20:32 AM,33.1681363284588
1/8/2026 11:20:33 AM,33.116852492094
1/8/2026 11:20:34 AM,33.0882266163826
1/8/2026 11:20:35 AM,33.0911435186863
1/8/2026 11:20:36 AM,33.1187400966883
1/8/2026 11:20:37 AM,33.0639392137527
1/8/2026 11:20:38 AM,33.0200348049402
1/8/2026 11:20:39 AM,32.979067414999
1/8/2026 11:20:40 AM,33.0166351050138
1/8/2026 11:20:41 AM,32.9373925924301
1/8/2026 11:20:42 AM,32.8813880681992
1/8/2026 11:20:43 AM,32.839847356081
1/8/2026 11:20:44 AM,32.8243374824524
1/8/2026 11:20:45 AM,32.665242254734
1/8/2026 11:20:46 AM,32.6653897762299
1/8/2026 11:20:47 AM,32.6691448688507
1/8/2026 11:20:48 AM,32.6419405639172
1/8/2026 11:20:49 AM,32.6878197491169
1/8/2026 11:20:50 AM,32.6823547482491
1/8/2026 11:20:51 AM,32.7486019581556
1/8/2026 11:20:52 AM,32.8196939080954
1/8/2026 11:20:53 AM,32.8295107930899
1/8/2026 11:20:54 AM,32.8283440321684
1/8/2026 11:20:55 AM,32.8283440321684
1/8/2026 11:20:56 AM,32.8373327851295
1/8/2026 11:20:57 AM,32.8489601612091
1/8/2026 11:20:58 AM,32.8452955931425
1/8/2026 11:20:59 AM,32.816606014967
1/8/2026 11:21:00 AM,32.8132901340723
1/8/2026 11:21:01 AM,32.8947622328997
1/8/2026 11:21:02 AM,32.8353445976973
1/8/2026 11:21:03 AM,32.7730301767588
1/8/2026 11:21:04 AM,32.8184835612774
1/8/2026 11:21:05 AM,32.8309256583452
1/8/2026 11:21:06 AM,32.8179437667131
1/8/2026 11:21:07 AM,32.7613826841116
1/8/2026 11:21:08 AM,32.822597399354
1/8/2026 11:21:09 AM,
1/8/2026 11:21:10 AM,
1/8/2026 11:21:11 AM,
1/8/2026 11:21:12 AM,
1/8/2026 11:21:13 AM,
1/8/2026 11:21:14 AM,
1/8/2026 11:21:15 AM,
1/8/2026 11:21:16 AM,
1/8/2026 11:21:17 AM,
1/8/2026 11:21:18 AM,
1/8/2026 11:21:19 AM,
1/8/2026 11:21:20 AM,
1/8/2026 11:21:21 AM,
1/8/2026 11:21:22 AM,
1/8/2026 11:21:23 AM,
1/8/2026 11:21:24 AM,
1/8/2026 11:21:25 AM,
1/8/2026 11:21:26 AM,
1/8/2026 11:21:27 AM,
1/8/2026 11:21:28 AM,
1/8/2026 11:21:29 AM,
1/8/2026 11:21:30 AM,
1/8/2026 11:21:31 AM,
1/8/2026 11:21:32 AM,
1/8/2026 11:21:33 AM,
1/8/2026 11:21:34 AM,
1/8/2026 11:21:35 AM,
1/8/2026 11:21:36 AM,
1/8/2026 11:21:37 AM,
1/8/2026 11:21:38 AM,
1/8/2026 11:21:39 AM,
1/8/2026 11:21:40 AM,
1/8/2026 11:21:41 AM,
1/8/2026 11:21:42 AM,
1/8/2026 11:21:43 AM,
1/8/2026 11:21:44 AM,
1/8/2026 11:21:45 AM,
1/8/2026 11:21:46 AM,
1/8/2026 11:21:47 AM,
1/8/2026 11:21:48 AM,
1/8/2026 11:21:49 AM,
